slo_violation_pct,cvar95_ms,p95_ms,p99_ms,mean_latency_ms,seed,policy,replica_seconds,scaling_actions
0.002777777777777778,186.40755031843082,140.8866260656395,213.51173767086578,65.12547207619816,501,cvar_safe,1177500.0,50
0.0625,281.2082593700616,195.02730587731762,340.0412107751333,79.42647299440536,501,hpa_like,726000.0,78
2.3458333333333337,529.961753011405,385.05395189872013,654.1710180240041,120.07373613688618,501,keda_style,603900.0,193
0.008333333333333333,187.65094918865836,141.9347307276125,215.06352273035756,65.23329461433275,502,cvar_safe,1176000.0,50
0.08750000000000001,285.026070203558,195.69697871645795,344.9929276295282,79.72889089353737,502,hpa_like,723900.0,78
2.3069444444444445,529.5676515376803,377.0406179633265,657.5310175868456,118.34057045647663,502,keda_style,602100.0,191
0.002777777777777778,189.0160994664881,142.36229549451423,217.59964873081617,65.40252810942371,503,cvar_safe,1176600.0,46
0.08888888888888889,286.3049913724326,197.65584012559844,348.13282530833243,79.88862856906135,503,hpa_like,724800.0,78
2.376388888888889,530.9870932457754,378.03887020395416,657.0090506544329,120.1174627808861,503,keda_style,602700.0,195
0.005555555555555556,189.16651945061497,141.93260610375208,216.6800215747857,65.71045060334093,504,cvar_safe,1177500.0,50
0.10694444444444445,294.95945075928387,200.1995781770911,357.72809137945166,80.47082453740538,504,hpa_like,727200.0,74
2.3666666666666667,534.2070872704312,387.936137031305,658.1879923637288,119.88621077565145,504,keda_style,602700.0,193
0.002777777777777778,188.54839096735154,142.42248036291352,216.10836929711124,65.39335744812769,505,cvar_safe,1157400.0,48
0.07916666666666666,284.84720622191753,198.37832051798605,340.77771845693616,79.81706693102711,505,hpa_like,726000.0,78
2.3166666666666664,528.3321022434221,376.06303576586316,653.9910715163936,118.18549355251241,505,keda_style,602100.0,191
0.005555555555555556,188.95922485748727,142.8873598796189,215.1610813397032,65.47888744545932,506,cvar_safe,1157400.0,48
0.075,285.2927640867351,196.77834013280327,344.08580900149593,80.20243017271254,506,hpa_like,722400.0,80
2.3208333333333333,527.2520538748176,376.43111214993286,653.107153593565,118.06876133392845,506,keda_style,602400.0,191
0.002777777777777778,187.70348314456393,141.9139724661575,214.11611434316916,65.20733209052761,507,cvar_safe,1165200.0,44
0.07916666666666666,283.4914650684176,196.0960034877246,339.97488047823293,79.98667264447336,507,hpa_like,723300.0,80
2.3069444444444445,526.1282367551532,376.40733100573186,652.3391930977873,119.26533548465356,507,keda_style,603900.0,197
0.002777777777777778,187.28407151047531,141.32841703260223,216.05983765806698,65.34877019962728,508,cvar_safe,1150200.0,42
0.08472222222222221,283.2915059480228,195.24012574795927,342.1390658839166,79.71057485214251,508,hpa_like,726000.0,78
2.3680555555555554,533.419038831747,385.29704398179996,657.9858092142349,120.49914475606467,508,keda_style,603900.0,193
0.006944444444444444,188.3085492991717,142.7235540401054,215.63532134190496,65.44635503469141,509,cvar_safe,1150200.0,42
0.06805555555555555,283.15657897488006,196.7411441958516,335.93108289184977,79.7842276473646,509,hpa_like,723900.0,78
2.2694444444444444,525.486836480253,375.17722297943686,651.2239607317738,118.98541149804446,509,keda_style,603000.0,191
0.006944444444444444,188.47271932852516,141.5530062366845,215.67353614203685,65.35514541509859,510,cvar_safe,1178100.0,46
0.08194444444444444,284.8376586564811,197.2403023307801,342.72295994245945,79.73220345766255,510,hpa_like,724800.0,78
2.2972222222222225,529.2012326187186,378.2551974140437,657.7313082505495,119.38590715536155,510,keda_style,603300.0,195
