slo_violation_pct,cvar95_ms,p95_ms,p99_ms,mean_latency_ms,seed,policy,replica_seconds,scaling_actions,scenario,cpu_utilization_factor
0.3976337448559671,247.764188155105,148.8924526333596,295.03507348945294,68.87820034984878,101,cvar_safe,3552.0,64,cpu_factor_0.40,0.4
1.690843621399177,464.16161965545547,274.09849022307264,569.0990906030756,88.94163551906013,101,hpa_like,2485.0,46,cpu_factor_0.40,0.4
2.388888888888889,517.0002762024229,357.25621909362155,627.6473199002305,97.08071554630396,101,keda_style,2444.0,60,cpu_factor_0.40,0.4
0.13168724279835392,268.1694177157715,155.72297722207315,371.65399259361305,70.28315250321123,102,cvar_safe,3768.0,79,cpu_factor_0.40,0.4
1.5180041152263373,467.4981002396647,290.8448802914194,594.6353510875676,91.08706219717895,102,hpa_like,2543.0,50,cpu_factor_0.40,0.4
2.6183127572016462,566.2850550809487,370.4008062841672,713.2788331036646,102.50222102311984,102,keda_style,2488.0,62,cpu_factor_0.40,0.4
0.056584362139917695,228.2496928224714,147.68141167269727,305.44495772388524,67.62855500742744,103,cvar_safe,3410.0,70,cpu_factor_0.40,0.4
2.766460905349794,554.6179730075432,276.64309837528407,766.1413311367361,94.06552128337243,103,hpa_like,2476.0,48,cpu_factor_0.40,0.4
3.699588477366255,616.8934441009727,337.40969414155813,776.2999853508667,99.11982944133463,103,keda_style,2434.0,52,cpu_factor_0.40,0.4
0.12602880658436214,291.4385018320384,171.05869618234271,370.4302760313883,72.58343879342301,104,cvar_safe,3702.0,88,cpu_factor_0.40,0.4
4.247427983539095,660.9610317846151,446.77397025532235,764.1005199338625,105.36907172138753,104,hpa_like,2557.0,58,cpu_factor_0.40,0.4
4.264917695473251,661.3748746630001,448.2956041258426,764.1005199338625,106.31348720398755,104,keda_style,2520.0,60,cpu_factor_0.40,0.4
0.8724279835390947,304.19097385428864,156.2316629261241,473.2641039515071,72.26786801076157,105,cvar_safe,3601.0,62,cpu_factor_0.40,0.4
2.7247942386831276,539.0964897617902,328.9997485303225,631.7792815160284,94.98785437483605,105,hpa_like,2570.0,50,cpu_factor_0.40,0.4
2.3863168724279835,515.4178614018941,296.26144041151883,624.8366620232895,94.49239008014335,105,keda_style,2521.0,54,cpu_factor_0.40,0.4
0.07561728395061729,208.41237140641167,137.498951427771,232.69192606927703,65.80977205484257,106,cvar_safe,3304.0,48,cpu_factor_0.40,0.4
1.3348765432098766,493.97606765618394,211.2953216661639,625.251045681772,88.7863750999279,106,hpa_like,2402.0,32,cpu_factor_0.40,0.4
1.2217078189300412,441.7880063407335,225.07909970293392,538.8401202893958,88.17924848450562,106,keda_style,2384.0,42,cpu_factor_0.40,0.4
0.8173868312757201,342.423551378297,177.2716914057938,470.0781289284073,75.65973621829181,107,cvar_safe,3604.0,89,cpu_factor_0.40,0.4
3.449588477366255,615.3920749186886,363.8071452998528,745.526908280399,100.94013098540769,107,hpa_like,2432.0,49,cpu_factor_0.40,0.4
3.4212962962962967,612.1644681557311,332.3686243782554,745.526908280399,99.80076561345773,107,keda_style,2406.0,49,cpu_factor_0.40,0.4
0.00308641975308642,182.4848627662773,136.31957811942343,214.51650202085648,64.3595786318986,108,cvar_safe,3191.0,47,cpu_factor_0.40,0.4
1.0946502057613168,390.3151497942316,198.04169470353946,509.71602045608785,83.20909683429964,108,hpa_like,2324.0,30,cpu_factor_0.40,0.4
1.6748971193415638,451.6840590651607,209.57699944105755,589.7363263686618,86.98030481933489,108,keda_style,2320.0,36,cpu_factor_0.40,0.4
0.20421810699588477,282.86529888547693,162.18459670118224,377.4371951598562,71.58222469680942,109,cvar_safe,3554.0,83,cpu_factor_0.40,0.4
2.9434156378600824,613.9791606762956,309.03812136098304,818.194020003183,100.13564057398467,109,hpa_like,2504.0,45,cpu_factor_0.40,0.4
3.5200617283950617,776.9094774728599,333.40671296663885,1034.4723937408628,112.12883452528482,109,keda_style,2481.0,56,cpu_factor_0.40,0.4
1.529320987654321,425.4344672521676,190.3611460242175,590.5248706111062,80.15509198517957,110,cvar_safe,3721.0,88,cpu_factor_0.40,0.4
2.844650205761317,563.5591494751272,356.65387084632084,694.218569767874,97.07164638400916,110,hpa_like,2520.0,52,cpu_factor_0.40,0.4
3.022633744855967,571.5739262134517,367.4357118595742,696.1361623320488,99.13980846951642,110,keda_style,2467.0,58,cpu_factor_0.40,0.4
0.06430041152263374,239.98823777931247,151.06749761032424,314.5354180240786,68.59255669707203,111,cvar_safe,3541.0,67,cpu_factor_0.40,0.4
2.7057613168724277,636.4562442949427,331.4853209350566,906.8704317783304,100.46511179115578,111,hpa_like,2512.0,53,cpu_factor_0.40,0.4
2.8441358024691357,595.7824477947221,350.8517924798359,735.5380692630447,100.00966077386784,111,keda_style,2462.0,54,cpu_factor_0.40,0.4
1.7638888888888888,473.7748658738429,197.65274917849263,624.4769341642848,83.09012786133663,112,cvar_safe,3706.0,105,cpu_factor_0.40,0.4
3.369341563786008,773.8207036630101,383.81427215235453,1067.205787325733,109.52128035613596,112,hpa_like,2456.0,51,cpu_factor_0.40,0.4
3.403292181069959,777.3213363707848,399.3844179349406,1067.205787325733,113.77216025010594,112,keda_style,2420.0,57,cpu_factor_0.40,0.4
1.279320987654321,368.8075541305851,158.46204566842874,609.6387374968215,75.33941472701234,113,cvar_safe,3589.0,64,cpu_factor_0.40,0.4
3.1373456790123453,678.362488654098,282.6536200622278,884.1822253645826,101.3520745641823,113,hpa_like,2458.0,42,cpu_factor_0.40,0.4
