cpu_utilization_factor,policy,slo_violation_pct,cvar95_ms,replica_seconds,scaling_actions
0.4,cvar_safe,0.5073731138545953,291.6863255178765,3550.866666666667,73.4
0.4,hpa_like,2.6099794238683125,569.3750609910472,2480.6,46.4
0.4,keda_style,2.918415637860082,597.4093701277611,2445.733333333333,52.4
0.5,cvar_safe,0.35030864197530864,252.15366672133297,3878.2,50.333333333333336
0.5,hpa_like,1.9576474622770919,489.7143337929099,2585.266666666667,44.6
0.5,keda_style,2.8659807956104255,595.8187183802613,2453.5333333333333,48.333333333333336
0.7,cvar_safe,0.0758573388203018,191.94013881169175,4800.333333333333,23.0
0.7,hpa_like,0.729320987654321,340.2114482679983,3151.6666666666665,41.333333333333336
0.7,keda_style,2.5410836762688613,549.8173552352,2506.0,43.86666666666667
1.0,cvar_safe,0.007784636488340193,176.96382968032262,6242.933333333333,10.266666666666667
1.0,hpa_like,0.06786694101508917,188.249881082685,4544.066666666667,44.666666666666664
1.0,keda_style,1.460150891632373,441.95737213205695,2894.8,33.6
