seed,policy,interval,arrival_rate,arrivals,queue,utilization,offered_load_ratio,replicas_target,replicas_active,p95_ms,p99_ms,cvar95_ms,smoothed_cvar_ms,pressure,predicted_next_p99_ms,burst
501,cvar_safe,0,193.18511762319724,57900.0,0.0,0.4825,0.965,3,2,131.21852305953306,163.1276134988066,162.82103555638608,223.84631066691583,9.660004528171415,363.3453963423362,0
501,cvar_safe,1,471.1713025442787,140670.0,50670.0,0.75,1.5,4,3,201.31481409742588,249.1527799050249,237.09780178276023,227.82175800166914,25.58473886140995,28354.760646198705,0
501,cvar_safe,2,321.34699184416684,96041.0,26711.0,0.6112958333333334,1.2225916666666667,5,4,276.6920897098864,335.4329974949209,321.8051455912088,256.01677427853105,0.20092779504016797,15087.782401974859,0
501,cvar_safe,3,402.85623503965473,120817.0,0.0,0.49176,0.98352,6,5,264.4822788658327,332.91206971809504,310.90433567084966,272.4830426962266,0.14857825513101017,387.84108697242345,0
501,cvar_safe,4,273.1516206317204,81789.0,0.0,0.22719166666666665,0.4543833333333333,7,6,255.3057388379508,322.85578069818547,301.5710485590667,281.2094444550786,0.0045295421468753445,336.207414788718,0
501,cvar_safe,5,267.6105415350611,80018.0,0.0,0.19051904761904762,0.38103809523809523,8,7,247.9985787828379,319.3415270405137,295.31207534403035,285.4402337217641,0.0013216323687600354,323.84717567391607,0
501,cvar_safe,6,351.79830007271084,105823.0,0.0,0.22046458333333332,0.44092916666666665,9,8,244.1972426994581,316.76037314657276,288.539246714411,286.3699376195582,0.0017982391504405483,320.68418674145494,0
501,cvar_safe,7,323.82872705334313,97348.0,0.0,0.1802740740740741,0.3605481481481482,10,9,240.70400725341287,315.16446190890224,282.7590978701135,285.2866856947248,0.00046218414472384215,317.1100195644648,0
501,cvar_safe,8,240.27640641040765,72345.0,0.0,0.120575,0.24115,11,10,240.58834757294315,315.16446190890224,282.604022541854,284.48188674886353,3.925708541180734e-05,315.1942855874397,0
501,cvar_safe,9,226.22083384939464,68019.0,0.0,0.1030590909090909,0.2061181818181818,12,11,238.41780692809894,314.59650631084514,279.87183970165665,283.0988726347015,1.1620726256524365e-05,315.1732926347025,0
501,cvar_safe,10,217.47099540084452,65667.0,0.0,0.09120416666666667,0.18240833333333334,13,12,154.7965370793562,219.90498153186772,195.07408759794257,256.6914371236738,4.00593867727747e-06,314.59955070228506,0
