contrast,description,variant_mean_slo_violations_pct,baseline_mean_slo_violations_pct,baseline_to_variant_ratio,paired_difference_variant_minus_baseline_pp,paired_difference_ci95_low,paired_difference_ci95_high,paired_t_p_raw,cohens_dz,wilcoxon_p_raw,matched_rank_biserial,paired_t_p_holm,wilcoxon_p_holm
no_cvar_vs_keda_style,No CVaR trigger (pressure + p99) vs KEDA-style queue controller,0.4116255144032922,2.865980795610425,6.962592685162042,-2.454355281207133,-3.0298993897096,-1.8788111727046664,2.788410125633292e-07,-2.361550802268243,6.103515625e-05,-1.0,5.576820251266584e-07,0.0001220703125
no_queueing_vs_hpa_like,No queueing signal (CVaR + p99) vs HPA-like controller,1.5080589849108366,1.957647462277092,1.2981239340534398,-0.44958847736625523,-0.8576248446258773,-0.04155211010663318,0.033119072392682865,-0.6101755138587232,0.03533935546875,-0.6166666666666667,0.033119072392682865,0.03533935546875
