policy,seed,mae_p99_ms,rmse_p99_ms,pearson_r,spearman_rho,windows
cvar_safe,101,21.62491521036434,34.61395171898331,0.8408743614781441,0.562350457921906,1079
cvar_safe,102,22.11819989725416,48.34027621723397,0.9409425295661893,0.5734095919264015,1079
cvar_safe,103,18.92162749307989,28.612803096099643,0.4948446137408378,0.5558577578435121,1079
cvar_safe,104,28.25784880970026,55.71586262681339,0.934952929004813,0.5323666932938819,1079
cvar_safe,105,31.314091910916556,71.72251764435727,0.949959040638083,0.5235629393176138,1079
cvar_safe,106,19.299439745604445,26.18813174499774,0.5646666547045097,0.5109594271688125,1079
cvar_safe,107,25.762673097139807,61.764048760708974,0.9585078260353708,0.5413321711683559,1079
cvar_safe,108,18.847921996376524,28.488610025137284,0.4971125592300664,0.5057292403443272,1079
cvar_safe,109,19.340432548433554,39.20192985849156,0.866469520825683,0.6392387643256184,1079
cvar_safe,110,32.111287278179155,89.00782184819957,0.969348903964091,0.6633323308131286,1079
cvar_safe,111,24.78256717110117,44.28660163722472,0.9279244138847011,0.542419916003171,1079
cvar_safe,112,30.519698072657597,93.27018682578392,0.9716034079577273,0.6572025754455453,1079
cvar_safe,113,32.78701416956527,74.35590212497543,0.9530977454842474,0.5690114910264026,1079
cvar_safe,114,20.936843849352332,43.424361935935146,0.9426531980752797,0.6672417455796398,1079
cvar_safe,115,24.823124189137456,45.01970371086997,0.913427326302864,0.44936712331137285,1079
hpa_like,101,76.85790918103912,101.14736899061378,0.9381047371058487,0.5421516867253021,1079
hpa_like,102,81.76201360827599,118.79881093584662,0.947100043212618,0.6464947007583689,1079
hpa_like,103,76.76133067949542,108.68260104878107,0.9463082324894695,0.600709455455249,1079
hpa_like,104,101.69967227023173,162.32413574561713,0.9709252752376962,0.7175590306819293,1079
hpa_like,105,80.78704430996889,123.15720092891391,0.9609831364387585,0.5996643403739915,1079
hpa_like,106,78.08904513397835,119.68333701134073,0.9632674659419803,0.5699687012025143,1079
hpa_like,107,93.26516947846524,131.61641559773176,0.9564985113440367,0.6977779021201228,1079
hpa_like,108,72.09564118345634,95.19736343097003,0.9290942665052904,0.6293565194035414,1079
hpa_like,109,74.64094360756104,118.49780086618414,0.9614802969219626,0.5777674436540394,1079
hpa_like,110,90.11384919085133,132.80531974014815,0.9575549082547526,0.7163949243833245,1079
hpa_like,111,84.11251782916575,114.56173109089974,0.9448981582590897,0.608741046156541,1079
