description,variant_mean_slo_violations_pct,baseline_mean_slo_violations_pct,baseline_to_variant_ratio,paired_difference_variant_minus_baseline_pp,paired_difference_ci95_low,paired_difference_ci95_high,paired_t_p_holm,cohens_dz,wilcoxon_p_holm
No CVaR trigger (pressure + p99) vs KEDA-style queue controller,0.41,2.87,6.96,-2.45,-3.03,-1.88,5.6e-07,-2.36,0.00012207
No queueing signal (CVaR + p99) vs HPA-like controller,1.51,1.96,1.3,-0.45,-0.86,-0.04,0.03311907,-0.61,0.03533936
